Description,Discount_Price,Price,Metal,Metal Color,Stones,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Gemstones,Top Length,Top Diameter,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Length,Band Width,Flower Diameter,Band Thickness,Starfish Size,Snake Length, Height, Stone included,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Diameter,Information,Top Length Appx,Height , Contains,Jewelry_Type,Sex
"Effy 14K White Gold Cultured Fresh Water Pearl & Diamond Ring, 0.16 TCW",1097.5,2195.0,14K Gold,White,"Round Pearl, Round Diamond 0.16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Alexandrite and Diamond Ring, 0.57 TCW",3286.5,4695.0,14K Gold,Yellow,"Oval Alexandrite 0.33, Round Diamond 0.24",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.70 TCW",2485.0,3550.0,14K Gold,Rose,"Emerald Cut Morganite 2.2, Round Diamond 0.5",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Wrap Ring, 0.78 TCW",2625.0,3750.0,14K Gold,White,"Round Diamond 0.78,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Two-of-Us Diamond Ring, 0.49 TCW",1497.5,2995.0,14K Gold,White,"Round Diamond 0.49,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Diamond Ring, 0.86 TCW",2447.5,4895.0,14K Gold,White,Round Diamond 0.86,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Rose Gold Diamond and Tsavorite Ring, 0.72 TCW",3146.5,4495.0,14K Gold,Rose,"Multi Shape Diamond 0.7, round Tsavorite 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"14K Yellow Gold Emerald and Diamond Flower Ring, 2.86 TCW",3497.5,6995.0,14K Gold,Yellow,"Oval Emerald 1.52, Round Diamond 1.34",,,,,,,,,,,,,,,,,"1""",,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 0.71 TCW",1495.0,,14K Gold,White,"Round Diamond 0.71,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 1.53 TCW",2096.5,2995.0,14K Gold,Rose,"Emerald Cut Morganite 1.2, Round Diamond 0.33",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Diamond Knot Ring, 0.95 TCW",2147.5,4295.0,14K Gold,Rose,"Round Diamond 0.95,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 1.59 TCW",5596.5,7995.0,14K Gold,White,"Multi Shape Diamond 1.59,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond V Maze Ring, 0.82 TCW",2347.5,4695.0,14K Gold,Yellow,Round Diamond 0.82,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Watercolors Multi Sapphire & Diamond Ring, 3.16 TCW",3496.5,4995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.4, Round Diamond 0.76",,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Tanzanite and Diamond Rings, 1.34 TCW",2170.0,3100.0,14K Gold,Rose,"Round Tanzanite 0.95, Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Cross Over Ring, 0.53 TCW",1495.0,2850.0,14K Gold,Yellow,Round Diamond 0.53,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.72 TCW",2656.5,3795.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.26, Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K Two-Tone Gold  Yellow and White Diamond Ring, 1.00 TCW",3146.5,4495.0,14K Gold,Yellow and White,"Round Diamond 1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond Ring, 0.98 TCW",2147.5,4295.0,14K Gold,Three Tone,Multi Shape Diamond 0.98,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Flower Ring, 1.82 TCW",3497.5,6995.0,14K Gold,White,"Round Diamond 1.82,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Gemma White Gold Emerald & Diamond Ring, 1.75 TCW",2297.5,4595.0,14K Gold,White,"Pear Emerald 0.95, Round Diamond 0.8,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Ring, 7.21 TCW",4546.5,6495.0,14K Gold,White,"Oval Multi Sapphire 6.61, Round Diamond 0.61",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Espresso and White Diamond Ring, 1.15 TCW",2575.0,5150.0,14K Gold,Rose,"Round Diamond 1.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White and Yellow Gold Diamond Ring, 0.79 TCW",2447.5,4895.0,14K Gold,Yellow and White,"Round Diamond 0.79,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Prong Set Diamond Band, 0.98 TCW",1886.5,2695.0,14K Gold,White,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Tanzanite and Diamond Ring, 1.97 TCW",3075.0,6150.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.45,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 1.35 TCW",1645.0,2350.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 1.07, Round Diamond 0.28",,,,,,,,,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Channel Set Multi Sapphire Ring, 0.86 TCW",1575.0,2250.0,14K Gold,Yellow,Square Multi Sapphire 0.86,,,,,,,,,,,,,,,,"1/8""",,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.59 TCW",2096.5,2995.0,14K Gold,Yellow,"Emerald Cut Multi Sapphire 2.44, Round Diamond 0.15",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Espresso and White Diamond Ring, 1.09 TCW",3997.5,7995.0,14K Gold,Yellow,"Round Diamond 1.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Cocktail Ring, 5.91 TCW",5075.0,7250.0,14K Gold,Yellow,"Oval Opal 5.05, Round Diamond 0.86,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Crossover Ring, 1.80 TCW",4686.5,6695.0,14K Gold,White,Round Diamond 1.8,,,,,,,,,,,,,,,,,,"5/8""",,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Ring, 1.54 TCW",5596.5,7995.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.88, Round Diamond 0.66",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Seaside 14K Yellow Gold Diamond Starfish Ring, 0.37 TCW",1886.5,2695.0,14K Gold,Yellow,Round Diamond 0.37,,,,,,,,,,,,,,,,,,,"1""",,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K Two Tone Gold Blue and White Diamond Ring, 0.79 TCW",3006.5,4295.0,14K Gold,Rose and White,Round Diamond 0.79,,,,,,,,,,,,,,,,,,"1/2""",,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Ring, 0.72 TCW",2796.5,3995.0,14K Gold,Yellow and White,Round Diamond 0.72,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Channel Set Diamond Ring, 0.48 TCW",1326.5,1895.0,14K Gold,Yellow,"Round Diamond 0.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Channel Set Diamond Ring, 0.48 TCW",1326.5,1895.0,14K Gold,White,"Round Diamond 0.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K Yellow Gold Diamond and Ruby Snake Ring, 0.89 TCW",3185.0,4550.0,14K Gold,Yellow,"Round Diamond 0.76, Round Ruby 0.13",,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Rose Gold Opal and Diamond Ring, 2.62 TCW",1575.0,2250.0,14K Gold,Rose,"Round Opal 2.4, Round Diamond 0.22",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ocean Bleu 14K Gold Blue Topaz and Diamond Cocktail Ring, 13.95 TCW",2975.0,4250.0,14K Gold,White,"Emerald Cut Blue Topaz 13.9, Round Diamond 0.05",,"3/4""",,,,,,,,,,,,,,,,,,,"3/8""",,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Rose Gold Opal and Diamond Evil Eye Ring, 0.96 TCW",1365.0,1950.0,14K Gold,Rose,"Oval Opal 0.65, Round Diamond 0.31",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Ring, 2.64 TCW",1645.0,2350.0,14K Gold,Yellow,"Oval Opal 2.5, Round Diamond 0.14",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Ring, 1.52 TCW",1995.0,2850.0,14K Gold,Yellow,"Round Opal 1.2, Round Diamond 0.32",,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 3.33 TCW",8606.5,12295.0,14K Gold,Yellow,"Oval Emerald 2.85, Round Diamond 0.48",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Genuine Ruby & Diamond Ring, 2.73 TCW",3916.5,5595.0,14K Gold,Yellow,"Square Ruby 2.32, Round Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Fashion Ring, 0.74 TCW",1997.5,3995.0,14K Gold,Yellow,Round Diamond 0.74,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 0.77 TCW",3045.0,4350.0,14K Gold,White,Multi Shape Diamond 0.77,,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Rose Gold Ruby and Diamond Flower Ring, 1.76 TCW",2096.5,2995.0,14K Gold,Rose,"Pear Ruby 1.51, Round Diamond 0.25",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Ring, 2.83 TCW",1186.5,1695.0,14K Gold,Yellow,"Emerald Cut Multi Color 2.7, Round Diamond 0.13",,"1/4""",,,,,,,,,,,,,,,,,,,,"Amethyst, Blue Topaz, Peridot, Citrine and Garnet",,,,,,,,,,,Rings,Women
"Effy Bordeaux 14K Yellow Gold Rhodolite Garnet and Diamond Ring, 2.14 TCW",1816.5,2595.0,14K Gold,Yellow,"Round Garnet 1.8, Round Diamond 0.34",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Ring, 1.35 TCW",1785.0,2550.0,14K Gold,Yellow,"Emerald Cut Multi Color 1.1, Round Diamond 0.25",,,,,,,,,,,,,,,,"3/8""",,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Pear Shaped Ring, 1.05 TCW",2586.5,3695.0,14K Gold,White,"Round Black Diamond 0.81, Round Diamond 0.24",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Sunset 14K Yellow Gold Citrine and Diamond Ring, 6.49 TCW",1886.5,2695.0,14K Gold,Yellow,"Emerald Cut Citrine 6.1, Round Diamond 0.39",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K White Gold Yellow and White Diamond Ring, 0.91 TCW",4896.5,6995.0,14K Gold,White,"Multi Shape Yellow Diamond 0.46, Round Diamond 0.45",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 1.86 TCW",1645.0,2350.0,14K Gold,Yellow,"Oval Multi Sapphire 1.66, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ocean Bleu 14K White Gold Blue Topaz & Diamond Ring, 7.27 TCW",1186.5,1695.0,14K Gold,White,"Multi Shape Blue Topaz 7.13, Round Diamond 0.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature Sterling Silver Diamond Panther Ring, 0.09 TCW",346.5,495.0,Sterling Silver,N/A,"Round Diamond 0.07, Round Tsavorite 0.02",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver & 18K Gold Accent Multi Gemstone Ring, 1.54 TCW",346.5,495.0,Sterling Silver & 18K Gold,Yellow,"Oval Amethyst 0.75, Oval Blue Topaz 0.3, Oval Citrine 0.2, Round Garnet 0.07",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.24 TCW",1816.5,2595.0,14K Gold,White,"Trillion Tanzanite 1.09, Round Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Black, Cognac and White Diamond Ring, 2.05 TCW",4247.5,8495.0,14K Gold,Rose,Round Diamond 2.05,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K White Gold Emerald and Diamond Panther Ring, 3.70 TCW",4697.5,9395.0,14K Gold,White,"Oval Emerald 1.88, Round Diamond 1.82",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 1.36 TCW",1525.0,3050.0,14K Gold,White,"Round Blue Sapphire 1, Round Diamond 0.36,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Ring, 1.40 TCW",2236.5,3195.0,14K Gold,Yellow,"Trillion Tanzanite 1.09, Round Diamond 0.31",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 0.64 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Diamond 0.24, Round Emerald 0.4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K White Gold Diamond Clusters Ring, 0.81 TCW",3697.5,7395.0,14K Gold,White,"Round Diamond 0.81,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Band Ring, 1.27 TCW",995.0,,14K Gold,White,"Square Emerald 1.14, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black Diamond Band, 0.34 TCW",675.0,1350.0,14K Gold,White,"Round Black Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire and Diamond Ring, 1.84 TCW",3297.5,6595.0,14K Gold,white,"Oval Blue Sapphire 1.33, Round Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Ring, 2.24 TCW",5176.5,7395.0,14K Gold,White,Round Diamond 2.24,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Two Tone Gold Diamond Butterfly Ring, 1.28 TCW",2375.0,4750.0,14K Gold,Rose,Round Diamond 1.28,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K Gold Diamond & Emerald Dragon Ring, 1.50 TCW",4196.5,5995.0,14K Gold,White,"Oval Emerald 0.76, Round Diamond 0.8,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Mixed Diamond Stack Ring, 0.49 TCW",1447.5,2895.0,14K Gold,Three Tone,"Round Diamond 0.49,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.70 TCW",3000.0,6000.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Multi Shape Diamond 0.28",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Two-of-Us Diamond Ring, 0.39 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.54 TCW",1195.0,,14K Gold,White,"Round Tanzanite 1.07, Round Diamond 0.47,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri-Color Gold Diamond Ring, 0.71 TCW",2475.0,4950.0,14K Gold,Three Tone,"Round Diamond 0.71,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Ring, 2.53 TCW",1855.0,2650.0,14K Gold,Yellow,"Baguette Multi Color 2.33, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Blush 14K White Gold Morganite and Diamond Ring Set, 3.04 TCW",2550.0,5100.0,14K Gold,White,"Rectangle Morganite 2.2, Round Diamond 0.84",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
Effy 925 Sterling Silver Green Amethyst and Diamond Ring 4.06 TCW,385.0,550.0,Sterling Silver,N/A,"Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Lagoon Sterling Silver Amethyst Ring, 4.09 TCW",416.5,595.0,Sterling Silver,N/A,"Oval Amethyst 4.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Green Amethyst Ring, 5.75 TCW",437.5,625.0,Sterling Silver & 18K Gold,Yellow,"Cushion Green Amethyst 5.75,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Eclipse 14K Yellow Gold Black Onyx Band Ring, 0.50 TCW",665.0,950.0,14K Gold,Yellow,"Round Onyx 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 1.29 TCW",2752.5,5505.0,14K Gold,White,"Round Diamond 1.29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Gold Espresso & White Diamond Butterfly Ring, 1.18 TCW",3497.5,6995.0,14K Gold,Yellow,"Round Diamond 1.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold 3 Stone Diamond Ring, 1.25 TCW",11250.0,22500.0,14K Gold,White,"Round Diamond 1, Multi Shape Diamond 0.25,Center Store H Color I1 Clarity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 2.10 TCW",2026.5,2895.0,14K Gold,Yellow,"Emerald Cut Ruby 1.9, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Duo 14K White and Yellow Gold Diamond Ring, 1.23 TCW",3442.5,6885.0,14K Gold,Yellow and White,Round Diamond 1.23,,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond Twist Ring, 1.24 TCW",2907.5,5815.0,14K Gold,Three Tone,"Round Diamond 1.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 3.76 TCW",3076.5,4395.0,14K Gold,Yellow,"Marquise Ruby 3.2, Round Diamond 0.56,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 1.71 TCW",1470.0,2100.0,14K Gold,Rose,"Cushion Morganite 1.6, Round Diamond 0.11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Sapphire & Diamond Starfish Ring, 0.84 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Multi Sapphire 0.76, Round Diamond 0.08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Sapphire, Tsavorite & Diamond Ring, 4.09 TCW",2697.5,5395.0,14K Gold,White,"Multi Shape Multi Color 3.63, Round Diamond 0.46",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K Yellow Gold Diamond Snake Ring, 0.95 TCW",3846.5,5495.0,14K Gold,Yellow,"Multi Shape Diamond 0.93, Round Tsavorite 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold 3-Stone Diamond Ring, 0.95 TCW",2197.5,4395.0,14K Gold,White,"Round Diamond 0.95,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Tri Tone Gold Diamond Knot Ring, 0.52 TCW",1800.0,3600.0,Sterling Silver & 18K Gold,Three Tone,"Round Diamond 0.52,Top Width; 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K Yellow Gold Blue Sapphire and Diamond Snake Ring, 1.49 TW",3496.5,4995.0,14K Gold,Yellow,"Round Blue Sapphire 0.95, Round Diamond 0.54,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
Effy Kidz Yellow Gold Pearl Flower Ring,325.0,650.0,14K Gold,Yellow,"Round Pearl,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Band Ring, 2.14 TCW",250.0,,Sterling Silver,N/A,"Oval Tanzanite 2.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Seaside 14K White Gold Blue Sapphire & Diamond Dolphin Ring, 1.39 TCW",2796.5,3995.0,14K Gold,White,"Round Blue Sapphire 1.02, Round Diamond 0.37,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K White Gold Diamond Cross Over Ring, 2.08 TCW",5176.5,7395.0,14K Gold,White,"Round Diamond 2.08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 2.29 TCW",3286.5,4695.0,14K Gold,White,"Emerald Cut Emerald 1.96, Round Diamond 0.33,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Rose 14K Rose Gold Diamond Crossover Ring, 0.71 TCW",2625.0,5250.0,14K Gold,Rose,"Round Diamond 0.71,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond Ring, 0.62 TCW",1947.5,3895.0,14K Gold,Three Tone,Round Diamond 0.62,,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Accented Ring, 0.29 TCW",1497.5,2995.0,14K Gold,Yellow,Round Diamond 0.29,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Stack Ring, 0.65 TCW",1645.0,2350.0,14K Gold,White,"Round Diamond 0.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K Yellow Gold Diamond Clusters Ring, 1.01 TCW",3636.5,5195.0,14K Gold,Yellow,"Round Diamond 1.01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Rose Gold Multi-Sapphire Diamond Ring, 13.94 TCW",5997.5,11995.0,14K Gold,Rose,"Multi Shape Multi Sapphire 13.63, Round Diamond 0.31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Ring, 2.20 TCW",2997.5,5995.0,14K Gold,Yellow,"Emerald Cut Tanzanite 1.33, Round Diamond 0.87",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.72 TCW",3216.5,4595.0,18K Gold,Yellow and White,"Round Yellow Diamond 0.72,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Cross Over Ring, 0.54 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.54,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Halo Ring, 0.59 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.59,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Collector's Edition 14K Yellow Gold Black Diamond Ring, 3.80 TCW",7350.0,10500.0,14K Gold,Yellow,"Round Black Diamond 3.53, Marquise Emerald 0.27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
