Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Top Length,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Band Width,Band Thickness,Starfish Size,Snake Length, Height,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Top Length Appx,Height , Contains,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Bolo Chain Max Length,Adjustable String,Bracelet Width,"75"" Thickness",Adjustable Chain,Thickness,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter","17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length, Pendant Length,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length","18"" Necklace. Bar Length","18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size", Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone"
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Ring, 1.48 TCW",2936.5,4195.0,14K Gold,Yellow and White,"Round Ruby 1.25, Round Diamond 0.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Tone Gold Diamond Ring, 0.34 TCW",1505.0,2150.0,14K Gold,Three Tone,Round Diamond 0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 2.25 TCW",3465.0,4950.0,14K Gold,White,"Oval Aquamarine 1.25, Round Diamond 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Classique 14K White Gold Diamond Bow Ring, 0.67 TCW",2415.0,3450.0,14K Gold,White,Multi Shape Diamond 0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K White Gold Ruby and Diamond Ring, 1.12 TCW",1746.5,2495.0,14K Gold,White,"Round Ruby 0.95, Round Diamond 0.44,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 5.03 TCW",7697.5,15395.0,14K Gold,White,"Emerald Cut Tanzanite 4.49, Multi Shape Diamond 0.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Gold Multi Gemstone and Diamond Panther Ring, 0.63 TCW",2205.0,3150.0,14K Gold,Yellow,"Round Multi Color 0.55, Round Diamond 0.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"5/8""",,,,,,,,,,,,,,,,,,"Topaz, Amethyst, Peridot and Citrine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Pear Shaped Ring, 0.77 TCW",1536.5,2195.0,14K Gold,Rose and White,"Pear Ruby 0.48, Round Diamond 0.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Ring, 1.95 TCW",2096.5,2995.0,14K Gold,White,"Square Multi Sapphire 1.71, Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond and Tsavorite Ring, 0.19 TCW",1396.5,1995.0,14K Gold,Rose,"Round Diamond 0.15, Round Tsavorite 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.27 TCW",995.0,1600.0,14K Gold,Yellow,"Square Emerald 1.14, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Wrapped Leaf Ring, 1.07 TCW",3846.5,5495.0,14K Gold,White,Round Diamond 1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 2.78 TCW",2782.5,3975.0,14K Gold,Yellow,"Marquise Emerald 2.64, Round Diamond 0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside Silver and 18K Gold Blue Topaz Starfish Ring, 6.70 TCW",665.0,950.0,Stainless Steel & 18K Gold,Yellow,Multi Shape Blue Topaz 6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Ring, 0.36 TCW",647.5,1295.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.36,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature Sterling Silver Blue Sapphire Splash Butterfly Ring, 1.70 TCW",486.5,695.0,Sterling Silver,N/A,Round Multi Sapphire 1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K White Gold Tanzanite Diamond Ring, 1.58 TCW",1225.0,1750.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Blue Topaz Ring, 1.95 TCW",175.0,250.0,Sterling Silver,N/A,"Oval Blue Topaz 1.95,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Ring,  1.70 TCW",836.5,1195.0,Sterling Silver & 18K Gold,N/A,Round Multi Sapphire 1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Cushion Onyx Ring, 6.50 TCW",175.0,250.0,Sterling Silver,N/A,Cushion Onyx 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"11/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Tone Gold Diamond Clusters Ring, 1.04 TCW",3675.0,5250.0,14K Gold,Three Tone,Round Diamond 1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Limited Edition 14K Yellow Gold Sapphire and Diamond Ring, 6.39 TCW",2750.0,5500.0,14K Gold,Yellow,"Round Multi Sapphire 6.01, Round Diamond 0.38,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Filigree Ring, 0.41 TCW",2026.5,2895.0,14K Gold,Yellow,"Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Two Tone Gold Diamond Anchor Ring, 0.12 TCW",875.0,1250.0,14K Gold,Yellow and White,"Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Two Tone Gold Tanzanite & Diamond Ring, 1.45 TCW",2415.0,3450.0,14K Gold,Rose and White,"Cushion Tanzanite 0.95, Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Blue Sapphire Oval Ring, 3.00 TCW",556.5,795.0,Sterling Silver,N/A,Round Blue Sapphire 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 5.05 TCW",2726.5,3895.0,14K Gold,White,"Rectangle Aquamarine 4.9, Multi Shape Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Amethyst and Diamond Ring, 4.19 TCW",805.0,1150.0,14K Gold,White,"Oval Amethyst 4.15, Round Diamond 0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside S. Silver Topaz & Diamond Turtle and Starfish Ring, 1.06 TCW",416.5,595.0,Sterling Silver,N/A,"Round Blue Topaz 0.98, Round Diamond 0.08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aurora 14K Two Tone Gold Opal and Diamond Ring, 2.22 TCW",1396.5,1995.0,14K Gold,Yellow and White,"Oval Opal 2.15, Round Diamond 0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 S. Silver & 18K Gold Multi Gemstone and Diamond Ring, 1.08 TCW",455.0,650.0,Sterling Silver & 18K Gold,Yellow,"Oval Multi Color 1.05, Round Diamond 0.03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver and 18K Yellow Gold Green Amethyst Ring, 3.90 TCW",367.5,525.0,Sterling Silver & 18K Gold,Yellow,"Cushion Green Amethyst 3.9,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silve & 18K Gold Topaz and Amethyst Ring, 1.62 TCW",200.0,350.0,Sterling Silver & 18K Gold,Yellow,"Pear Blue Topaz, Oval Amethyst ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 3.30 TCW",1746.5,2495.0,14K Gold,White,"Multi Shape Aquamarine 3.15, Round Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Ring, 3.71 TCW",2520.0,3600.0,14K Gold,White,"Round Diamond 0.24, Multi Shape Sapphire 3.54,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Heart Ring, 0.77 TCW",3146.5,4495.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.44, Round Diamond 0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Emerald Cut Tanzanite and Diamond Ring, 2.73 TCW",3747.5,7495.0,14K Gold,White,"Emerald Cut Tanzanite 2.09, Round Diamond 0.64,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Espresso and White Diamond Cross Over Ring, 1.36 TCW",4500.0,9000.0,14K Gold,Rose,"Round Diamond 1.36,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Diamond and Sapphire Ring, 1.06 TCW",2225.0,4450.0,14K Gold,White,"Round Diamond 0.54, Round Blue Sapphire 0.52,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Rose Gold Sapphire, Ruby & Diamond Flower Ring, 3.45 TCW",4546.5,6495.0,14K Gold,Rose,"Round Multi Color 3.11, Round Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Sunset 14K Yellow Gold Citrine and Diamond Ring, 6.29 TCW",1155.0,1650.0,14K Gold,Yellow,"Marquise Citrine 6.15, Round Diamond 0.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Pink Sapphire Splash Ring, 2.43 TCW",507.5,725.0,Sterling Silver,N/A,"Round Pink Sapphire 2.43,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Sapphire Band, 0.85 TCW",346.5,495.0,Sterling Silver,N/A,"Round Blue Sapphire 0.85,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 1.66 TCW",1956.5,2795.0,14K Gold,White,"Round Blue Sapphire 1.42, Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature Sterling Silver & 18K Gold Diamond Flower Ring, 0.02 TCW",455.0,650.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,"5/8""",,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.98 TCW",3500.0,5000.0,14K Gold,Yellow,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bordeaux 14K Rose Gold Rhodolite Garnet and Diamond Ring, 3.32 TCW",2170.0,3100.0,14K Gold,Rose,"Pear Garnet 2.9, Round Diamond 0.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aurora 14K Yellow Gold Opal and Diamond Ring, 1.88 TCW",1875.0,3750.0,14K Gold,Yellow,"Oval Opal 1.4, Round Diamond 0.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Multi-Sapphire and Diamond Ring, 1.03 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Multi Sapphire 0.92, Round Diamond 0.11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 2.26 TCW",2516.5,3595.0,14K Gold,Yellow,"Emerald Cut Emerald 2.11, Round Diamond 0.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.72 TCW",3006.5,4295.0,14K Gold,Yellow,"Pear Emerald 1.33, Round Diamond 0.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.57 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Round Diamond 0.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
