Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter",Adjustable Length,"17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length,Information, Pendant Length,Gemstones,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",Adjustable Chain,""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length", Length,"18"" Necklace. Bar Length",Bracelet Length,"18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size",Pearl Size, Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone",Jewelry_Type,Sex
"Effy Pave Classica 14K White Gold Diamond Vertical Pendant, 0.14 TCW",945.0,1350.0,14K Gold,White,Round Diamond 0.14,,"2.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Duo 14K Yellow and White Gold Diamond Necklace, 1.37 TCW",7696.5,10995.0,14K Gold,Yellow and White,"Round Diamond 1.37,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Black and White Diamond Necklace, 1.46 TCW",4406.5,6295.0,14K Gold,White,"Round Diamond 1.46,17"" Length with 1.5"" Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K White Gold Diamond Cluster Pendant, 0.27 TCW",1746.5,2495.0,14K Gold,White,"Round Diamond 0.27,17"" Adjustable Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond V-Shape Necklace, 0.28 TCW",1295.0,1850.0,14K Gold,White,Round Diamond 0.28,,,,,,,,,,,,,,,,,,"1.3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Ocean Bleu 14K White Gold Blue Topaz and Diamond Pendant, 3.86 TCW",2650.0,5300.0,14K Gold,White,"Oval Blue Topaz 2.85, Round Diamond 1.01",,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Multi Gemstone Pendant, 3.85 TCW",626.5,895.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 3.85,,,,,,,,,,,,,"18"" Chain Included",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Mosaic 14K Yellow Gold Blue Topaz, Amethyst, Citrine & Diamond Pendant",2555.0,3650.0,14K Gold,Yellow,"Multi Shape Multi Color 10.85, Round Diamond 0.22",,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Cross Pendant, 0.95 TCW",332.5,475.0,Sterling Silver,N/A,Round Blue Sapphire 0.95,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Black and White Diamond Pendant, 0.48 TCW",1676.5,2395.0,14K Gold,Yellow,Round Diamond 0.48,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Cross Pendant, 1.48 TCW",1956.5,2795.0,14K Gold,White,"Round Emerald 1.21, Round Diamond 0.27",,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow Gold Diamond Necklace, 1.68 TCW",9586.5,13695.0,14K Gold,Yellow,"Round Diamond 1.68,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Pendant, 2.43 TCW",5750.0,11500.0,14K Gold,Rose,"Round Diamond 2.41, Round Emerald 0.02",,,,,,,,,,,,,,,,,,,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K White Gold Diamond Cluster Pendant, 0.47 TCW",1396.5,1995.0,14K Gold,White,Round Diamond 0.47,,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Pendant, 9.60 TCW",1575.0,2250.0,14K Gold,Yellow,"Pear Onyx 9.31, Round Diamond 0.29",,,,,,,,,,,,,,,,"1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Black and White Diamond Pendant, 2.13 TCW",4375.0,8750.0,14K Gold,Rose,"Round Diamond 2.11, Round Emerald 0.02",,,,,,,,,,,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Classique 14K White Gold Diamond Pendant, 0.58 TCW",1816.5,2595.0,14K Gold,White,"Baguette Diamond 0.45, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Pendant, 1.43 TCW",2096.5,2995.0,14K Gold,Yellow,"Multi Shape Emerald 1.16, Round Diamond 0.27",,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Aquarius 14K White Gold Aquamarine and Diamond Pendant, 0.78 TCW",735.0,1050.0,14K Gold,White,"Round Aquamarine 0.71, Round Diamond 0.07",,,,,,,,,,,,,,,,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Pendant, 0.45 TCW",1676.5,2395.0,14K Gold,White,Round Diamond 0.45,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Diamond Pendant, 0.73 TCW",3647.5,7295.0,14K Gold,Yellow,Round Diamond 0.73,,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K White Gold Tanzanite and Diamond Pendant, 2.97 TCW",3846.5,5495.0,14K Gold,White,"Oval Tanzanite 2.85, Round Diamond 0.12",,"13/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Pendant, 0.45 TCW",1676.5,2395.0,14K Gold,Rose,Round Diamond 0.45,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, 0.48 TCW",1676.5,2395.0,14K Gold,Rose,Round Diamond 0.48,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Pendant, 2.58 TCW",1396.5,1995.0,14K Gold,Rose,"Emerald Cut Morganite 2.55, Round Diamond 0.03",,"11/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Safari 14K Rose Gold Diamond and Tsavorite Snake Pendant, 1.41 TCW",4196.5,5995.0,14K Gold,Rose,"Round Diamond 1.37, Round Tsavorite 0.04",,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Seaside 14K White Gold Blue Sapphire & Diamond Starfish Pendant,1886.5,2695.0,14K Gold,White,"Round Blue Sapphire 1.45, Round Diamond 0.17",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Yellow Gold Green Amethyst & Diamond Pendant, 6.74 TCW",1396.5,1995.0,14K Gold,Yellow,"Marquise Green Amethyst 6.6, Round Diamond 0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Pendant, 0.10 TCW",735.0,1050.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Watercolors Multi Sapphire & Diamond Pendant, 5.11 TCW",3496.5,4995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 4.57, Round Diamond 0.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Gemma Emerald, Cognac & White Diamond Pendant",2726.5,3895.0,14K Gold,Yellow,"Oval Emerald 1.14, Round Diamond 0.5",,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Cross Necklace, .09 TCW",836.5,1195.0,14K Gold,White,Round Diamond 0.09,,,,,,,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Gemma Yellow Gold Ruby and Diamond Pendant, 4.88 TCW",3325.0,4750.0,14K Gold,Yellow,"Marquise Ruby 4.41, Round Diamond 0.47,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, .40 TCW",1396.5,1995.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Heart Pendant, 0.10 TCW",766.5,1095.0,14K Gold,White,"Round Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Panther Pendant, 1.75 TCW",5915.0,8450.0,14K Gold,Rose,"Round Diamond 1.7, Round Emerald 0.05",,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K White Gold Diamond Filigree Pendant, 0.70 TCW",2726.5,3895.0,14K Gold,White,Round Diamond 0.7,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Diamond Anchor Pendant, 0.09 TCW",495.0,795.0,14K Gold,White,Round Diamond 0.09,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Canare 14K Two-Tone Gold Yellow and White Diamond Pendant, 1.33 TCW",4056.5,5795.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.91, Round Diamond 0.42",,,,,,,,,,,,,,,,,,,,,,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"14K Yellow Gold Citrine and Diamond Pendant, 8.29 TCW",1437.5,2875.0,14K Gold,Yellow,"Oval Citrine 8.17, Round Diamond 0.12",,,,,,,,,,,,,,,,,,,,,,,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Pendant, 0.79 TCW",2726.5,3895.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Emerald 0.05",,,,,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"14K Yellow Gold 18"" Cultured Pearl Necklace",626.5,895.0,14K Gold,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Rose Gold Cognac & White Diamond Pendant, 1.27 TCW",3325.0,4750.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",,,,,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Rose 14K Rose Gold Diamond Disc Pendant, 0.28 TCW",1046.5,1495.0,14K Gold,Rose,Round Diamond 0.28,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, .89 TCW",2796.5,3995.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",,,,,,,,,,,,,,,,,,,,,,,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, .43 TCW",1886.5,2695.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",,,,,,,,,,,,,,,,,,,,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow Gold Diamond Pendant, 2.08 TCW",6086.5,8695.0,14K Gold,Yellow,Round Diamond 2.08,,,,,,,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Small Cross Pendant, 0.24 TCW",836.5,1195.0,14K Gold,White,"Round Diamond 0.24,18"" Chain Included. Pendant measures 3/8"" wide and 1/2"" high.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Trio 14K Tri-Color Gold Diamond Circles Pendant, 0.30 TCW",1956.5,2795.0,14K Gold,Three Tone,Round Diamond 0.3,,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Yellow Gold Diamond Palm Tree Pendant, 0.11 TCW",805.0,1150.0,14K Gold,Yellow,"Round Diamond 0.11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Black & White Diamond Star of David Pendant, 0.29 TCW",1085.0,1550.0,14K Gold,White,"Round Diamond 0.29, Round Black Diamond ,Chain Included. 5/8"" Pendant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Black and White Diamond Pendant, 0.62 TCW",1256.5,1795.0,14K Gold,White,"Round Diamond 0.62, Round Black Diamond ,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Black and White Diamond Pendant, .89 TCW",2656.5,3795.0,14K Gold,White,"Round Diamond, Round Black Diamond ,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Lagoon Amethyst Pendant, 4.09 TCW",525.0,750.0,Sterling Silver,N/A,"Oval Amethyst 4.09,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Pendant, 0.42 TCW",836.5,1195.0,14K Gold,White,"Round Blue Sapphire 0.28, Round Diamond 0.14,18"" Chain Included. Eye measures 3/4"" wide x 7/16"" high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Lagoon Onyx Pendant, 4.37 TCW",650.0,,Sterling Silver,N/A,"Oval Onyx 4.37,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Black and White Diamond Pendant, 1.06 TCW",3465.0,4950.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow and White Gold Diamond Pendant, 0.20 TCW",2096.5,2995.0,14K Gold,Yellow and White,"Round Diamond 0.2,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Espresso 14K Yellow Gold Cognac and White Diamond Pendant, .58 TCW",1025.0,2050.0,14K Gold,Yellow,"Round Diamond,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Pendant, 1.17 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Diamond 0.14, Princess Sapphire ,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"14K White Gold Tanzanite and Diamond Pendant, 0.81 TCW",2306.5,3295.0,14K Gold,White,"Round Diamond 0.05, Oval Tanzanite 0.76,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Pendant, 5.74 TCW",3496.5,4995.0,14K Gold,White,"Multi Shape Blue Sapphire 5.46, Round Diamond 0.28",,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Panther Pendant, 0.46 TCW",2586.5,3695.0,14K Gold,Rose,"Round Diamond 0.44, Round Emerald 0.02",,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond & Emerald Pendant, 0.79 TCW",2240.0,3200.0,14K Gold,Rose,Diamond 0.91,,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Gemma Emerald and Diamond Flower Pendant, 4.19 TCW",4056.5,5795.0,14K Gold,Yellow,"Multi Shape Emerald 3.76, Round Diamond 0.43,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Rose 14K Rose Gold Diamond Flower Pendant, 0.85 TCW",6156.5,8795.0,14K Gold,Rose,"Round Diamond 0.85,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Splash Sterling Silver Multi Sapphire Starfish Pendant, 2.80 TCW",556.5,795.0,Sterling Silver,N/A,Round Multi Sapphire 2.9,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Heart Pendant, 2.75 TCW",595.0,850.0,Sterling Silver,N/A,Round Sapphire 2.75,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Pink Sapphire Splash Heart Pendant, 2.55 TCW",595.0,850.0,Sterling Silver,N/A,Round Pink Sapphire 2.55,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Lagoon Sterling Silver Blue Topaz Pendant, 5.70 TCW",525.0,750.0,Sterling Silver,N/A,Oval Blue Topaz 5.7,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver & 18K Gold Accent Multi Gemstone Pendant, 1.59 TCW",490.0,700.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 1.59,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Rose Gold Diamond Octopus Pendant, 0.20 TCW",1505.0,2150.0,14K Gold,Rose,Round Diamond 0.2,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Multi Gemstone Pendant, 4.97 TCW",1225.0,1750.0,Sterling Silver & 18K Gold,Yellow,"Multi Color 4.97,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
